cohort,plan,tenure_month,started,canceled
2026-01,classic,1,1000,30
2026-01,classic,2,1000,40
2026-01,classic,3,1000,140
2026-01,classic,4,1000,40
2026-01,classic,5,1000,30
2026-01,classic,6,1000,30
2026-01,launch,1,500,50
2026-01,launch,2,500,60
2026-01,launch,3,500,160
2026-01,launch,4,500,55
2026-01,launch,5,500,50
2026-01,launch,6,500,45
2026-02,classic,1,1000,30
2026-02,classic,2,1000,40
2026-02,classic,3,1000,140
2026-02,classic,4,1000,40
2026-02,classic,5,1000,30
2026-02,launch,1,500,50
2026-02,launch,2,500,60
2026-02,launch,3,500,160
2026-02,launch,4,500,55
2026-02,launch,5,500,50
2026-03,classic,1,1000,30
2026-03,classic,2,1000,40
2026-03,classic,3,1000,140
2026-03,classic,4,1000,40
2026-03,launch,1,500,50
2026-03,launch,2,500,60
2026-03,launch,3,500,160
2026-03,launch,4,500,55
2026-04,classic,1,1000,30
2026-04,classic,2,1000,40
2026-04,classic,3,1000,140
2026-04,launch,1,500,50
2026-04,launch,2,500,60
2026-04,launch,3,500,160
