week,part,disposition,repeat,count
1,adhesive,remake,no,4
1,adhesive,remake,yes,1
1,adhesive,credit,no,8
1,adhesive,credit,yes,1
1,clip,remake,no,3
1,clip,remake,yes,1
1,clip,credit,no,6
1,seal,remake,no,2
1,seal,credit,no,10
1,finish,remake,no,2
1,finish,credit,no,8
1,other,credit,no,8
2,adhesive,remake,no,4
2,adhesive,remake,yes,1
2,adhesive,credit,no,8
2,adhesive,credit,yes,1
2,clip,remake,no,3
2,clip,remake,yes,1
2,clip,credit,no,6
2,seal,remake,no,2
2,seal,credit,no,10
2,finish,remake,no,2
2,finish,credit,no,8
2,other,credit,no,8
3,adhesive,remake,no,4
3,adhesive,remake,yes,1
3,adhesive,credit,no,8
3,adhesive,credit,yes,1
3,clip,remake,no,3
3,clip,remake,yes,1
3,clip,credit,no,6
3,seal,remake,no,2
3,seal,credit,no,10
3,finish,remake,no,2
3,finish,credit,no,8
3,other,credit,no,8
4,adhesive,remake,no,4
4,adhesive,remake,yes,1
4,adhesive,credit,no,8
4,adhesive,credit,yes,1
4,clip,remake,no,3
4,clip,remake,yes,1
4,clip,credit,no,6
4,seal,remake,no,2
4,seal,credit,no,10
4,finish,remake,no,2
4,finish,credit,no,8
4,other,credit,no,8
5,adhesive,remake,no,4
5,adhesive,remake,yes,1
5,adhesive,credit,no,8
5,adhesive,credit,yes,1
5,clip,remake,no,3
5,clip,remake,yes,1
5,clip,credit,no,6
5,seal,remake,no,2
5,seal,credit,no,10
5,finish,remake,no,2
5,finish,credit,no,8
5,other,credit,no,8
6,adhesive,remake,no,4
6,adhesive,remake,yes,1
6,adhesive,credit,no,8
6,adhesive,credit,yes,1
6,clip,remake,no,3
6,clip,remake,yes,1
6,clip,credit,no,6
6,seal,remake,no,2
6,seal,credit,no,10
6,finish,remake,no,2
6,finish,credit,no,8
6,other,credit,no,8
7,adhesive,remake,yes,18
7,adhesive,remake,no,6
7,adhesive,credit,yes,4
7,adhesive,credit,no,2
7,clip,remake,yes,12
7,clip,remake,no,4
7,clip,credit,yes,2
7,clip,credit,no,2
7,seal,credit,no,4
7,finish,credit,no,3
7,other,credit,no,3
8,adhesive,remake,yes,18
8,adhesive,remake,no,6
8,adhesive,credit,yes,4
8,adhesive,credit,no,2
8,clip,remake,yes,12
8,clip,remake,no,4
8,clip,credit,yes,2
8,clip,credit,no,2
8,seal,credit,no,4
8,finish,credit,no,3
8,other,credit,no,3
9,adhesive,remake,yes,18
9,adhesive,remake,no,6
9,adhesive,credit,yes,4
9,adhesive,credit,no,2
9,clip,remake,yes,12
9,clip,remake,no,4
9,clip,credit,yes,2
9,clip,credit,no,2
9,seal,credit,no,4
9,finish,credit,no,3
9,other,credit,no,3
10,adhesive,remake,no,6
10,adhesive,remake,yes,2
10,adhesive,credit,no,6
10,clip,remake,no,4
10,clip,remake,yes,1
10,clip,credit,no,5
10,seal,remake,no,4
10,seal,credit,no,6
10,finish,remake,no,3
10,finish,credit,no,5
10,other,credit,no,8
11,adhesive,remake,no,6
11,adhesive,remake,yes,2
11,adhesive,credit,no,6
11,clip,remake,no,4
11,clip,remake,yes,1
11,clip,credit,no,5
11,seal,remake,no,4
11,seal,credit,no,6
11,finish,remake,no,3
11,finish,credit,no,5
11,other,credit,no,8
12,adhesive,remake,no,6
12,adhesive,remake,yes,2
12,adhesive,credit,no,6
12,clip,remake,no,4
12,clip,remake,yes,1
12,clip,credit,no,5
12,seal,remake,no,4
12,seal,credit,no,6
12,finish,remake,no,3
12,finish,credit,no,5
12,other,credit,no,8
