week,queue,tickets,refund_asks,hours_p95
1,billing,40,6,16
1,technical,36,1,64
1,account,28,2,18
1,other,12,0,14
2,billing,40,6,16
2,technical,36,1,64
2,account,28,2,18
2,other,12,0,14
3,billing,40,6,16
3,technical,36,1,64
3,account,28,2,18
3,other,12,0,14
4,billing,40,6,16
4,technical,36,1,64
4,account,28,2,18
4,other,12,0,14
5,billing,40,6,16
5,technical,36,1,64
5,account,28,2,18
5,other,12,0,14
6,billing,40,6,16
6,technical,36,1,64
6,account,28,2,18
6,other,12,0,14
7,billing,40,6,16
7,technical,36,1,64
7,account,28,2,18
7,other,12,0,14
8,billing,160,48,17
8,technical,36,1,66
8,account,28,2,18
8,other,12,0,14
9,billing,40,6,16
9,technical,36,1,64
9,account,28,2,18
9,other,12,0,14
10,billing,40,6,16
10,technical,36,1,64
10,account,28,2,18
10,other,12,0,14
11,billing,40,6,16
11,technical,36,1,64
11,account,28,2,18
11,other,12,0,14
12,billing,40,6,16
12,technical,36,1,64
12,account,28,2,18
12,other,12,0,14
