date,city,high_f,low_f,conditions
2026-06-21,Denver,78,54,cloudy
2026-06-22,Denver,79,55,cloudy
2026-06-23,Denver,80,56,cloudy
2026-06-24,Denver,81,54,cloudy
2026-06-25,Denver,82,55,clear
2026-06-26,Denver,78,56,cloudy
2026-06-27,Denver,79,54,cloudy
2026-06-28,Denver,80,55,cloudy
2026-06-29,Denver,81,56,cloudy
2026-06-30,Denver,82,54,clear
2026-07-01,Denver,78,55,cloudy
2026-07-02,Denver,79,56,cloudy
2026-07-03,Denver,80,54,cloudy
2026-07-04,Denver,81,55,cloudy
2026-07-05,Denver,82,56,clear
2026-07-06,Denver,78,54,cloudy
2026-07-07,Denver,79,55,cloudy
2026-07-08,Denver,80,56,cloudy
2026-07-09,Denver,81,54,cloudy
2026-07-10,Denver,82,55,clear
2026-07-11,Denver,78,56,cloudy
2026-07-12,Denver,79,54,cloudy
2026-07-13,Denver,80,55,cloudy
2026-07-14,Denver,81,56,cloudy
2026-07-15,Denver,82,54,clear
2026-07-16,Denver,78,55,cloudy
2026-07-17,Denver,79,56,cloudy
2026-07-18,Denver,80,54,cloudy
2026-07-19,Denver,81,55,cloudy
2026-07-20,Denver,82,56,clear
2026-07-21,Denver,78,54,cloudy
2026-07-22,Denver,79,55,cloudy
2026-07-23,Denver,80,56,cloudy
2026-07-24,Denver,81,54,cloudy
2026-07-25,Denver,82,55,clear
2026-07-26,Denver,78,56,cloudy
2026-07-27,Denver,79,54,cloudy
2026-07-28,Denver,80,55,cloudy
2026-07-29,Denver,81,56,cloudy
2026-07-30,Denver,82,54,clear
2026-07-31,Denver,78,55,cloudy
2026-08-01,Denver,79,56,cloudy
2026-08-02,Denver,80,54,cloudy
2026-08-03,Denver,81,55,cloudy
2026-08-04,Denver,82,56,clear
2026-08-05,Denver,78,54,cloudy
2026-08-06,Denver,79,55,cloudy
2026-08-07,Denver,80,56,cloudy
2026-08-08,Denver,81,54,cloudy
2026-08-09,Denver,82,55,clear
2026-08-10,Denver,78,56,cloudy
2026-08-11,Denver,79,54,cloudy
2026-08-12,Denver,80,55,cloudy
2026-08-13,Denver,81,56,cloudy
2026-08-14,Denver,82,54,clear
2026-08-15,Denver,78,55,cloudy
2026-08-16,Denver,79,56,cloudy
2026-08-17,Denver,80,54,cloudy
2026-08-18,Denver,81,55,cloudy
2026-08-19,Denver,82,56,clear
2026-08-20,Denver,99,72,hot
2026-08-21,Denver,99,72,hot
2026-08-22,Denver,99,72,hot
2026-08-23,Denver,99,72,hot
2026-08-24,Denver,99,72,hot
2026-08-25,Denver,99,72,hot
2026-08-26,Denver,99,72,hot
2026-08-27,Denver,80,55,cloudy
2026-08-28,Denver,81,56,cloudy
2026-08-29,Denver,82,54,clear
2026-08-30,Denver,78,55,cloudy
2026-08-31,Denver,79,56,cloudy
2026-09-01,Denver,80,54,cloudy
2026-09-02,Denver,81,55,cloudy
2026-09-03,Denver,82,56,clear
2026-09-04,Denver,78,54,cloudy
2026-09-05,Denver,79,55,cloudy
2026-09-06,Denver,80,56,cloudy
2026-09-07,Denver,81,54,cloudy
2026-09-08,Denver,82,55,clear
2026-09-09,Denver,78,56,cloudy
2026-09-10,Denver,79,54,cloudy
2026-09-11,Denver,80,55,cloudy
2026-09-12,Denver,81,56,cloudy
2026-09-13,Denver,82,54,clear
2026-09-14,Denver,78,55,cloudy
2026-09-15,Denver,79,56,cloudy
2026-09-16,Denver,80,54,cloudy
2026-09-17,Denver,81,55,cloudy
2026-09-18,Denver,71,52,mild
